transcription	normalisation
གཡསུ	གཡས་སུ
ཡྱསྐོརུ	གཡས་སྐོར་དུ
གཡོོུུ༹	གཡུ་མཚོ
གཡྲུག	གཡུ་འབྲུག
གཡུ་ལེཊ་པ	གཡུ་ལེགས་པ
གཡུངན	གཡུང་དྲུང་ཅན
གཡྲུང༌	གཡུང་དྲུང༌
གཡྲུང	གཡུང་དྲུང
གཡུལས	གཡུལ་ལས
གཡེརཾ	གཡེར་མ
ཡྱྕོན	གཡོ་ཅན
ཡྱོ	གཡོ
ཡྱོ་	གཡོག་
གཡོཌ	གཡོགས
གཡོནུ	གཡོན་དུ
ཡྱོནུ	གཡོན་དུ
གཡྱཽཊ	གཡོན་ཕྱོགས
ཡྱོན	གཡོན
གཡོསྣོད	གཡོས་སྣོད
གརསས	གར་གསས
གརབྲེལ	གར་འབྲེལ
གལྖེནི་	གལ་ཆེན་ནི་
གལྖེའོ་	གལ་ཆེའོ་
གལྟེ	གལ་ཏེ
གཤཌ	གཤགས
གཤངོ	གཤང་གཤོང
གཤཾལ	གཤམ་གསལ
གཤིནི	གཤིན་གྱི
གཤིནྱི	གཤིན་གྱི
གཤིནོ	གཤིན་པོ
གཤིནེདེ	གཤིན་རྗེ་གཤེད
གཤིེེནད	གཤིན་རྗེ་གཤེད
གཤྱིནེདེ	གཤིན་རྗེ་གཤེད
ཤྱིེནད	གཤིན་རྗེ་གཤེད
གཤིནེ	གཤིན་རྗེ
གཤྱིནེ	གཤིན་རྗེ
གིཤེན	གཤིན་རྗེ
ཤྱིནེ	གཤིན་རྗེ
གཤིབྱ	གཤིབ་བྱ
གཤཻ	གཤེ་གཤེ
གཤེགསོུལ	གཤེགས་སུ་གསོལ
གཤེཊོུལ	གཤེགས་སུ་གསོལ
གཤེགསོ	གཤེགས་སོ
ཤྱེགསོ	གཤེགས་སོ
གཤེཌ	གཤེགས
ཤྱེགས	གཤེགས
གཤེདུར	གཤེད་དུར
གཤེནབ	གཤེན་རབ
གཤེནརབས	གཤེན་རབས
ཤྱེན	གཤེན
གཤོལྕགས	གཤོལ་ལྕགས
གཤོལྡན	གཤོལ་ལྡན
གསྲུབསློགྶྲུབས	གས་སྲུབས་སློག་སྲུབས
གསྲུབས	གས་སྲུབས
སྱགཅོདེ་	གསག་གཅོད་དེ་
སྱཌ	གསགས
སྱང་	གསང་
སྱངཁང	གསང་ཁང
སྱངཁུང	གསང་ཁུང
སྱངཁེབསྔྃཌ	གསང་ཁེབས་གསང་སྔགས
སྱངནྱད	གསང་གནད
སྱངནྱས	གསང་གནས
སྱངེན	གསང་ཆེན
སྱངེན	གསང་ཆེན
སྱངབང	གསང་དབང
སྱངའི་	གསང་བའི་
སྱངའིསུང	གསང་བའི་གསུང
སྱངའིདགོ་	གསང་བའི་བདག་པོ་
སྱངའིདགོ	གསང་བའི་བདག་པོ
སྱངའི	གསང་བའི
སྱངརྡ	གསང་བརྡ
སྱངཾཚན	གསང་མཚན
སྱངཾཛོད	གསང་མཛོད
སྱངཚིག	གསང་ཚིག
སྱངའདུསིཾསྐྱོད	གསང་འདུས་མི་བསྐྱོད
གསངརྟཌ	གསང་རྟགས
གསྔྃཌསྱརྙིང	གསང་སྔགས་གསར་རྙིང
གསྔཌ	གསང་སྔགས
གསྔྃཌ	གསང་སྔགས
གསྔཊ	གསང་སྔགས
གསྔཾགས	གསང་སྔགས
གསྔཾཊ	གསང་སྔགས
གསྃསྟེ་	གསང་སྟེ་
སྱངསྤྱོདཤངཅྱིདོར	གསང་སྤྱོད་བཤང་གཅི་འདོར
སྱངསྦེད	གསང་སྦེད
སྱངསློབ	གསང་སློབ
སྱང	གསང
སྱངྣས	གསངས་ནས
སྱདརརྩཾསྱང	གསད་པར་བརྩམས་ཀྱང
སྱད	གསད
སྱནས	གསན་ནས
གསནས	གསན་ནས
སྱནཞེསནྱང	གསན་བཞེས་གནང
སྱན་བྱ	གསན་བྱ
སྱན	གསན
སྱབྱིན	གསབ་ཀྱིན
སྱབཚིགིསྱབ	གསབ་ཚིག་གིས་གསབ
སྱའ་ཾ	གསའ་མ་
སྱརྠོགསརསྤྲོསྱས	གསར་ཐོག་གསར་སྤྲོས་བྱས
སྱརུ	གསར་དུ
སྱརཏོད	གསར་བཏོད
སྱརྯོསྱརའོངསྱརོའོ	གསར་བཟོས་གསར་འོངས་གསར་བཟོའོ
སྱརྗེ་	གསར་བརྗེ་
གསརྦུ	གསར་བུ
སྱརབྱུང	གསར་བྱུང
སྱརཾ	གསར་མ
སྱརགྱུར	གསར་འགྱུར
སྱརྙིང	གསར་རྙིང
སྱརྐྱེསྱརགྲོཌ	གསར་སྐྱེས་གསར་གྲོགས
སྱརྐྲུན	གསར་སྐྲུན
སྱར	གསར
སྱལཁཏོདེ་	གསལ་ཁ་བཏོད་དེ་
སྱལཁུངསྒེའུཁུང	གསལ་ཁུང་སྒེའུ་ཁུང
སྱལནས	གསལ་གནས
སྱལྖཐོན	གསལ་ཆ་ཐོན
སྱལཀྲོལཾཛད	གསལ་བཀྲོལ་མཛད
སྱལཏབ	གསལ་བཏབ
སྱལའི	གསལ་བའི
སྱལྒྲཌ	གསལ་བསྒྲགས
སྱལྱེདི	གསལ་བྱེད་ཀྱི
སྱལྱེདབྱངསཅསྲོག	གསལ་བྱེད་དབྱངས་བཅས་སྲོག
སྱལྱེདབྱངསཾདེ	གསལ་བྱེད་དབྱངས་མེད
སྱལྱེདཾ	གསལ་བྱེད་དམ
སྱལྱེཾགི	གསལ་བྱེད་མིག
སྱལྱེད	གསལ་བྱེད
སྱལཾཆྱོ་	གསལ་མཆོག
སྱལཾཐོང	གསལ་མཐོང
སྱལཾཛད	གསལ་མཛད
སྱལེཾ	གསལ་མེ
སྱལྮག	གསལ་ཞག
སྱལདེབས	གསལ་འདེབས
སྱལྱསགྲངྣྱས	གསལ་ཡས་གྲངས་གནས
གསལྱལྱི	གསལ་རྒྱལ་གྱི
གསལྱལ	གསལ་རྒྱལ
སྱལྱལ	གསལ་རྒྱལ
སྱལརྗེན	གསལ་རྗེན
གསལམེ	གསལ་ལམ་མེ
གསལཱམ	གསལ་ལམ་ལམ
སྱཾལཾ་	གསལ་ལམ་ལམ་
སྱལེ	གསལ་ལེ
གསལོ	གསལ་ལོ
སྱལྡན	གསལ་ལྡན
སྱལྷིངེ་	གསལ་ལྷིང་ངེ་
སྱལྴིངགིརྩེ་	གསལ་ཤིང་གི་རྩེ་
སྱལྟོང	གསལ་སྟོང
སྱལྣང	གསལ་སྣང
སྱལྶྤུངསྱི་	གསལ་སྤུངས་ཀྱི་
སྱལ	གསལ
སྱསོཾ་	གསས་མོ་
གསསར	གསས་མཁར
སྱས	གསས
སྱིགིནསྱིཌ	གསིག་གིན་གསིགས
སྱིངགིན	གསིང་གིན
གསིངསྴིག	གསིངས་ཤིག
སྱིར	གསིར
སྱིལྦ	གསིལ་བ
སྱིལྦའོ་	གསིལ་བའོ་
སྱིལ	གསིལ
སྱུགྯོས	གསུག་ཟོས
སྱཁུངསགང་	གསུང་ཁུངས་གང་
གསུང་དོུལ	གསུང་དུ་གསོལ
སྱུངགྲོས	གསུང་བགྲོས
སྱུངཤད	གསུང་བཤད
གསུྃབུཾ	གསུང་འབུམ
གསུབ	གསུང་རབ
སུྃབ	གསུང་རབ
གསུབ	གསུང་རབ
གསྱརྩོཾ	གསུང་རྩོམ
སྱུངན	གསུང་ལན
གསུངྶྐྱེས	གསུང་སྐྱེས
གསུྃསྒྲོས	གསུང་སྒྲོས
སྱང	གསུང
སྱུངསྱངསྱུངྣས	གསུངས་ཀྱང་གསུངས་ནས
སྱུངསོ་	གསུངས་སོ་
གསུངསོ	གསུངས་སོ
གསུངསོ	གསུངས་སོ
གསྱིརེ་	གསུབ་བའི་ཕྱིར་ཏེ་
སྱུབ	གསུབ
སྱུབསིག	གསུབས་ཤིག
༣དུ	གསུམ་དུ
གསུཾ་དུ	གསུམ་དུ
ཉྲི	གསུམ་ནི
ཉྲའི་	གསུམ་པའི་
གསུཾར	གསུམ་པར
གསེུཾད	གསུམ་མེད
གསུམོ	གསུམ་མོ
གསུཾ༹ན	གསུམ་ཚན
གསུཾ	གསུམ
གསུརཀརསུར	གསུར་དཀར་གསུར་
གསུརྔོ་	གསུར་བསྔོ་
གསུརྫསུར	གསུར་རྫ་གསུར
གསུསྱིཾ་	གསུས་ཁྱིམ་
སྱུསོ་ེ	གསུས་པོ་ཆེ་
སྱེ་	གསེ་
སྱེ་	གསེ་
སྱེ་	གསེ་
སྱེགཀདདོ་	གསེག་ཀ་དོད་
སྱེགཅོད	གསེག་གཅོད
སྱེགྲི་	གསེག་གྲི་
སྱེགསོ	གསེག་དགོས
སྱེགཾ་	གསེག་མ་
སྱེག་ཾེརུང	གསེག་མི་རུང
སྱེགལུཾ	གསེག་ལམ་དུ
སྱེག	གསེག
སྱེངཕྲགསེངར	གསེང་ཕྲག་གསེང་བར
སྱེངཤོར	གསེང་ཤོར
སྱེདྱིན	གསེད་ཀྱིན
སྱེདཀྲོལ	གསེད་ཀྲོལ
སྱེདཾཁན	གསེད་མཁན
སྱེབྟུསྡད	གསེབ་ཏུ་བསྡད
སྱེབངོ	གསེབ་བོང
སྱེབ	གསེབ
སྱེབ	གསེབ
སྱེརཀོངཾ	གསེར་ཀོང་ངམ
སྱེརཁྲི་	གསེར་ཁྲི་
སྱེརདུང	གསེར་གདུང
སྱེརདུབ	གསེར་གདུབ
སྱེརཤྱའཾ	གསེར་གཤའ་མ
སྱེརྱི་	གསེར་གྱི་
གསེརན	གསེར་ཅན
སྱེརྖབ	གསེར་ཆབ
སྱེརྖུ	གསེར་ཆུ
སྱེརྖོས	གསེར་ཆོས
སྱེརཐཾ	གསེར་ཐམ
སྱེརཐུབ	གསེར་ཐུབ
གསེརོག	གསེར་ཐོག
གསེརོད	གསེར་ཐོད
སྱེརཙོ་ཾ	གསེར་བཙོ་མ་
སྱེརཾཁར	གསེར་མཁར
སྱེརཾངལྕན	གསེར་མངལ་ཅན
སྱེརདབྕནཁའྡིང	གསེར་འདབ་ཅན་མཁའ་ལྡིང
སྱོརིཌ	གསེར་རིགས
སྱེརྐོ	གསེར་རྐོ
སྱེརྐོང	གསེར་རྐོང
སྱེརྡོ	གསེར་རྡོ
སྱེརྣ་	གསེར་རྣ
སྱེརལྡནཾའཾ	གསེར་ལྡན་མའམ
སྱེརལྡན	གསེར་ལྡན
སྱེརསྐུ	གསེར་སྐུ
སྱེརྐུད	གསེར་སྐུད
སྱེརྐུད	གསེར་སྐུད
གསྐེུརད	གསེར་སྐུད
གསྐྱཻརཾས	གསེར་སྐྱེམས
གསྐྱེརེཾས	གསེར་སྐྱེམས
གསྱེརེསཾ	གསེར་སྐྱེམས
སྱེརེསཾ	གསེར་སྐྱེམས
སྱེརཾ	གསེར་སྐྱེམས
སྱཽརཾ	གསེར་སྐྱེམས
སྱེརསྦྱངསཙོཾ	གསེར་སྦྱངས་བཙོ་མ
སྱེར	གསེར
སྱེར	གསེར
སྱེལ	གསེལ
སྱེསྯིན	གསེས་ཟིན
སྱེས	གསེས
སྱོཐིགསོསྤྱད	གསོ་ཐིག་གསོ་སྤྱད
སྱོཔྱད	གསོ་དཔྱད
གསོུ	གསོ་བུ
སྱོདེ	གསོ་བྱེད
སྱོཾཁན	གསོ་མཁན
གཙྶྐྱོངོ	གསོ་སྐྱོང
གཙྶྐྱོངོ	གསོ་སྐྱོང
སྱོསྦྱོངོ་	གསོ་སྦྱོང་
སྱོསྦྱོངཕཌ	གསོ་སྦྱོང་འཕགས
སྱོ	གསོ
སྱོགསོབ	གསོག་གསོབ
སྱོགིན	གསོག་གིན
སྱོགིནསྱོགྲསྟེ་ཐོ་	གསོག་གིནགསོག་ཁྲ་སྟེ་ཐོ་
སྱོགཇོགསོག	གསོག་འཇོག་གསོག
སྱོགྲྫུ	གསོག་རྫུ
སྱོག	གསོག
སྱོངོ་	གསོང་བོ་
སྱོངསིག	གསོངས་ཤིག
སྱོདྱིན	གསོད་ཀྱིན
གསོདཾ	གསོད་ནམས
སྱོདར	གསོད་པར
སྱོདོད	གསོད་བྱེད
སྱོད	གསོད
སྱོནྕིགཚེ་	གསོན་ཅིག་ཚེ་
གསོནོ	གསོན་པོ
སྱོནོར	གསོན་པོར
སྱོབཟུཌ	གསོབ་གཟུགས
སྱོཾ་	གསོམ་
སྱོརསྐོརནསྦུ	གསོར་བསྐོར་ནས་བུ
སྱོལཁ	གསོལ་ཁ
སྱོལཁང	གསོལ་ཁང
སྱོལཟིསཾཆོད	གསོལ་གཟིམས་མཆོད
གསཽན	གསོལ་དཔོན
སྱོལཆོཾདབྱེད	གསོལ་མཆོད་བྱེད
སྱོལངི	གསོལ་ཞིང
སྱོལྲསྱོལ	གསོལ་རསས་གསོལ
སྱོལོཾཆོདོ་	གསོལ་ལོ་མཆོད་
སྱོལྟོན	གསོལ་སྟོན
སྱོལསྨན	གསོལ་སྨན
སྱོལ	གསོལ
སྱོསྲུགསོསྱ་	གསོས་ཕྲུག་གསོས་བྱ་
སྱོསིགསྣོས	གསོས་ཤིག་གསོས་ནས
སྱོསུ	གསོས་སུ
སྱོས	གསོས
གིམིཌ་	གི་དམིགས་
གངིེན	གིང་ཆེན
གིངེན	གིང་ཆེན
གིངོ	གིང་ཕོ
གིངོ	གིང་མོ
གིསཟོས	གིས་བཟོས
གིསྒྱུར	གིས་བསྒྱུར
གུལུ	གུ་གུལ
གུུལ	གུ་གུལ
གུགོ་པ	གུ་དོག་པ
གུགེ	གུག་གེ
གུངསྱེང	གུང་གསེང
གུཾ	གུང
གུདུ	གུད་དུ
གུཾ	གུམ
གུཾས	གུམས
གུརང་	གུར་ཁང་
གུརང	གུར་ཁང
གུརཾ	གུར་གུམ
གུརམ	གུར་གུམ
གུགོ	གུར་ཐོག
གོུག	གུར་ཐོག
གུརུ	གུར་བུ
གུརལིསུམོ	གུར་ལི་གསུམ་མོ
གུུལ	གུལ་གུལ
གུསདུད	གུས་འདུད
གུསྦྱོར	གུས་སྦྱོར
གེཨོད	གེ་ཁོད
གེཊ་༡	གེགས་གཅིག
གེགསེལ	གེགས་སེལ
གོནས	གོ་གནས
གྖཽད་	གོ་ཆོད་
གོངཾ	གོང་མ
གློའི་	གོ་ལའི་
གློ	གོ་སླ
གོངྑུར	གོང་ཁུར
གོངཱོག	གོང་འོག
གསོན་གཤིན	གོན་པོ་དང་གཤིན་པོ
གོཾས་པ	གོམས་པ
གོསཾ་པ	གོམས་པ
གོཾསྲོལ	གོམས་སྲོལ
གོརུ	གོར་བུ
གོལཏྱོཌའིསྒྲ	གོལ་གཏོགས་པའི་སྒྲ
གོསུཾ	གོས་བསུམ
གོསུ	གོས་སུ
གོསེར	གོས་སེར
གོསྒབ	གོས་སྒབ
གོསྔོན	གོས་སྔོན་ཅན
གྱལོེེ	གྱ་ལེ་གྱོལ་ལེ
གྱལོ	གྱལ་གྱོལ
གྱུགྱུག	གྱུག་གྱུག
གྱུརིག	གྱུར་ཅིག
གྱིུག	གྱུར་ཅིག
གྱུརིགུ	གྱུར་ཅིག་གུ
གྱིུརག	གྱུར་ཅིག
གྱུརོ	གྱུར་རོ
གྱེསོ	གྱེས་སོ
གྱོངྃནི	གྱོང་མིན
གྱོནས	གྱོན་ནས
གྱོསྒྱུག	གྱོས་སྒྱུག
གྲཌ་	གྲགས་
གྲཌ	གྲགས
གྲངར	གྲང་ངར
གྲངེདར	གྲང་མེད་པར
གྲངེད	གྲང་མེད
གྲངན	གྲངས་ཅན
གྲངདེར	གྲངས་མེད་པར
གྲངེད	གྲངས་མེད
གྲཾས	གྲངས
གྲིུག	གྲི་གུག
གྲིུམ	གྲི་གུམ
གྲི་ཐོཌ	གྲི་ཐོགས
གྲིྃདུང་	གྲི་མདུང་
གྲིབསིལ	གྲིབ་བསིལ
གྲིབྃཚས	གྲིབ་མཚམས
གྲིབྐཾ་	གྲིབ་སྐམ་
